iter	Logloss
0	0.6406244602
1	0.6272735213
2	0.6111272577
3	0.5698343839
4	0.5510175338
5	0.5206559649
6	0.4946129166
7	0.4838197225
8	0.4635122307
9	0.4446788814
10	0.4307761261
11	0.4191281786
12	0.406169484
13	0.4019318351
14	0.3925085571
15	0.3846313615
16	0.3790566595
17	0.3721132663
18	0.3661121621
19	0.3609388645
20	0.3580289343
21	0.3515141389
22	0.3497978947
23	0.3488773819
24	0.3482325204
25	0.3463006029
26	0.3456631189
27	0.3454956783
28	0.3416141795
29	0.3406981749
30	0.3405867103
31	0.3403025402
32	0.3389556048
33	0.3367450701
34	0.3330980846
35	0.3271488868
36	0.3240531334
37	0.3213629419
38	0.3183342452
39	0.316756892
40	0.3137627916
41	0.3124865777
42	0.3117662119
43	0.3108561257
44	0.3101957608
45	0.3088064408
46	0.3054516198
47	0.303694448
48	0.3024306562
49	0.3009505416
50	0.3009472382
51	0.3000494432
52	0.2976505217
53	0.2971254754
54	0.2952994949
55	0.2952982248
56	0.2946532473
57	0.2946522958
58	0.2936791901
59	0.2927147729
60	0.2926753144
61	0.2913875371
62	0.2881796877
63	0.2880647257
64	0.2875346702
65	0.2872536206
66	0.2857731186
67	0.285414785
68	0.2820526483
69	0.2820526454
70	0.2813682509
71	0.2803453534
72	0.2790391036
73	0.2786409851
74	0.2779274774
75	0.2760983235
76	0.2739902169
77	0.2731156594
78	0.2731156505
79	0.2717141957
80	0.2716091599
81	0.2702740566
82	0.2691803995
83	0.2676757409
84	0.2662643293
85	0.2661997964
86	0.2652271737
87	0.2649034633
88	0.2619494061
89	0.2611513866
90	0.2611025481
91	0.260746366
92	0.2596660989
93	0.258317338
94	0.2577587524
95	0.2576495689
96	0.2563002702
97	0.255468587
98	0.2527774206
99	0.2526562317
100	0.2503748837
101	0.2475845004
102	0.2473733966
103	0.2455649395
104	0.2455272648
105	0.2452176674
106	0.2451176747
107	0.2440697255
108	0.2413852501
109	0.2404814243
110	0.2398880342
111	0.2385734513
112	0.2363461078
113	0.2350595212
114	0.2331697908
115	0.2307019205
116	0.2300706383
117	0.2294775711
118	0.2283496518
119	0.2273793213
120	0.2253446167
121	0.2234015384
122	0.2215479562
123	0.2206983341
124	0.2201953543
125	0.218696053
126	0.2171388255
127	0.2160314958
128	0.2144536213
129	0.2136415852
130	0.213565845
131	0.2125174629
132	0.2115502597
133	0.2102342081
134	0.2087926769
135	0.2081425839
136	0.2079067819
137	0.2073003723
138	0.2058644979
139	0.2043689739
140	0.204228783
141	0.2030674329
142	0.2021606919
143	0.2018545601
144	0.201797896
145	0.2009134502
146	0.1997244776
147	0.1991991397
148	0.1987297446
149	0.1980295527
150	0.1973208938
151	0.1958136721
152	0.1949610634
153	0.1936671578
154	0.1932141159
155	0.1916941169
156	0.1907588806
157	0.1905847889
158	0.1890747323
159	0.1887822554
160	0.1877224129
161	0.1875171765
162	0.1868110828
163	0.1866547488
164	0.1859672
165	0.1858238325
166	0.185517258
167	0.1848376546
168	0.1836015695
169	0.1835530084
170	0.1833230075
171	0.1831095803
172	0.1824672466
173	0.1819606747
174	0.1814121663
175	0.1805627896
176	0.1804960855
177	0.1801107873
178	0.1799000252
179	0.1774105572
180	0.1770650623
181	0.1761016433
